"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg versus 0 mg/kg"	"Clostridiaceae Family"	0.190498913010988	0.187000845518701	1.01870615869455	0.312970293791286	1
"75 mg/kg versus 0 mg/kg"	"Anaerostignum"	-0.335920596355977	0.316267061402021	-1.06214221255553	0.292987054459861	1
"75 mg/kg versus 0 mg/kg"	"Lachnospira"	-0.318355788143448	0.38487822804857	-0.827159774034484	0.411855266926856	1
"75 mg/kg versus 0 mg/kg"	"CHKCI002"	0.559374496678469	0.307812628294151	1.81725649067237	0.0748331340102044	1
"75 mg/kg versus 0 mg/kg"	"Haemophilus"	0.297486241272045	0.292023601440935	1.01870615869455	0.312970293791283	1
"75 mg/kg versus 0 mg/kg"	"Dielma"	-0.77791433352834	0.296507137038289	-2.62359395898078	0.0113388970836416	1
"75 mg/kg versus 0 mg/kg"	"Chloroplast Order"	-0.278371995226793	0.283575660429316	-0.981649817214056	0.330732411771917	1
"75 mg/kg versus 0 mg/kg"	"Eggerthellaceae Family"	-0.0916697493408592	0.285552651401675	-0.321025733401128	0.749453385395699	1
"75 mg/kg versus 0 mg/kg"	"Pseudogracilibacillus"	0.131737886519757	0.129318828000978	1.01870615869455	0.312970293791288	1
"75 mg/kg versus 0 mg/kg"	"Coriobacteriales Order"	-0.129054089320205	0.405409847760262	-0.318329932124689	0.75148570179602	1
"75 mg/kg versus 0 mg/kg"	"Lachnospiraceae UCG-002"	-0.394758858647427	0.430886000323801	-0.916156148843951	0.363734927387735	1
