file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
../adapter-removed/M4.trimmed_1.fastq	FASTQ	DNA	147939	33276802	1	224.9	225
../adapter-removed/M4.trimmed_2.fastq	FASTQ	DNA	147939	33126654	2	223.9	224
../adapter-removed/M40.trimmed_1.fastq	FASTQ	DNA	129156	29057375	8	225.0	225
../adapter-removed/M40.trimmed_2.fastq	FASTQ	DNA	129156	28923251	3	223.9	224
../adapter-removed/M41.trimmed_1.fastq	FASTQ	DNA	128978	29008132	22	224.9	225
../adapter-removed/M41.trimmed_2.fastq	FASTQ	DNA	128978	28881223	3	223.9	224
../adapter-removed/M42.trimmed_1.fastq	FASTQ	DNA	133771	30095925	18	225.0	225
../adapter-removed/M42.trimmed_2.fastq	FASTQ	DNA	133771	29962250	2	224.0	224
../adapter-removed/M43.trimmed_1.fastq	FASTQ	DNA	120017	27001382	2	225.0	225
../adapter-removed/M43.trimmed_2.fastq	FASTQ	DNA	120017	26878579	1	224.0	224
../adapter-removed/M44.trimmed_1.fastq	FASTQ	DNA	118215	26594948	2	225.0	225
../adapter-removed/M44.trimmed_2.fastq	FASTQ	DNA	118215	26477776	3	224.0	224
../adapter-removed/M45.trimmed_1.fastq	FASTQ	DNA	139452	31373184	14	225.0	225
../adapter-removed/M45.trimmed_2.fastq	FASTQ	DNA	139452	31235659	46	224.0	224
../adapter-removed/M46.trimmed_1.fastq	FASTQ	DNA	124700	28054850	4	225.0	225
../adapter-removed/M46.trimmed_2.fastq	FASTQ	DNA	124700	27928452	2	224.0	224
../adapter-removed/M47.trimmed_1.fastq	FASTQ	DNA	127905	28775061	2	225.0	225
../adapter-removed/M47.trimmed_2.fastq	FASTQ	DNA	127905	28649141	39	224.0	224
../adapter-removed/M48.trimmed_1.fastq	FASTQ	DNA	121302	27290767	15	225.0	225
../adapter-removed/M48.trimmed_2.fastq	FASTQ	DNA	121302	27168264	4	224.0	224
../adapter-removed/M49.trimmed_1.fastq	FASTQ	DNA	142442	32045375	2	225.0	225
../adapter-removed/M49.trimmed_2.fastq	FASTQ	DNA	142442	31903792	3	224.0	224
../adapter-removed/M5.trimmed_1.fastq	FASTQ	DNA	129453	29118482	3	224.9	225
../adapter-removed/M5.trimmed_2.fastq	FASTQ	DNA	129453	28990718	2	223.9	224
../adapter-removed/M50.trimmed_1.fastq	FASTQ	DNA	114987	25868920	3	225.0	225
../adapter-removed/M50.trimmed_2.fastq	FASTQ	DNA	114987	25755388	3	224.0	224
../adapter-removed/M51.trimmed_1.fastq	FASTQ	DNA	120443	27096991	14	225.0	225
../adapter-removed/M51.trimmed_2.fastq	FASTQ	DNA	120443	26973242	3	224.0	224
../adapter-removed/M52.trimmed_1.fastq	FASTQ	DNA	92569	20825678	42	225.0	225
../adapter-removed/M52.trimmed_2.fastq	FASTQ	DNA	92569	20733792	6	224.0	224
../adapter-removed/M53.trimmed_1.fastq	FASTQ	DNA	101034	22729765	2	225.0	225
../adapter-removed/M53.trimmed_2.fastq	FASTQ	DNA	101034	22630705	2	224.0	224
../adapter-removed/M54.trimmed_1.fastq	FASTQ	DNA	75858	17064311	14	225.0	225
../adapter-removed/M54.trimmed_2.fastq	FASTQ	DNA	75858	16991317	6	224.0	224
../adapter-removed/M55.trimmed_1.fastq	FASTQ	DNA	117238	26375831	14	225.0	225
../adapter-removed/M55.trimmed_2.fastq	FASTQ	DNA	117238	26256227	2	224.0	224
../adapter-removed/M56.trimmed_1.fastq	FASTQ	DNA	131784	29648414	28	225.0	225
../adapter-removed/M56.trimmed_2.fastq	FASTQ	DNA	131784	29517793	3	224.0	224
../adapter-removed/M57.trimmed_1.fastq	FASTQ	DNA	120342	27074292	117	225.0	225
../adapter-removed/M57.trimmed_2.fastq	FASTQ	DNA	120342	26955087	22	224.0	224
../adapter-removed/M58.trimmed_1.fastq	FASTQ	DNA	127430	28668097	41	225.0	225
../adapter-removed/M58.trimmed_2.fastq	FASTQ	DNA	127430	28540319	2	224.0	224
../adapter-removed/M59.trimmed_1.fastq	FASTQ	DNA	136680	30749117	27	225.0	225
../adapter-removed/M59.trimmed_2.fastq	FASTQ	DNA	136680	30615517	96	224.0	224
../adapter-removed/M6.trimmed_1.fastq	FASTQ	DNA	148988	33510281	3	224.9	225
../adapter-removed/M6.trimmed_2.fastq	FASTQ	DNA	148988	33355159	6	223.9	224
../adapter-removed/M60.trimmed_1.fastq	FASTQ	DNA	141214	31770335	8	225.0	225
../adapter-removed/M60.trimmed_2.fastq	FASTQ	DNA	141214	31629586	1	224.0	224
../adapter-removed/M61.trimmed_1.fastq	FASTQ	DNA	129992	29242129	2	225.0	225
../adapter-removed/M61.trimmed_2.fastq	FASTQ	DNA	129992	29086470	3	223.8	224
../adapter-removed/M62.trimmed_1.fastq	FASTQ	DNA	131609	29605332	2	224.9	225
../adapter-removed/M62.trimmed_2.fastq	FASTQ	DNA	131609	29472645	2	223.9	224
../adapter-removed/M63.trimmed_1.fastq	FASTQ	DNA	141086	31736043	2	224.9	225
../adapter-removed/M63.trimmed_2.fastq	FASTQ	DNA	141086	31593773	2	223.9	224
../adapter-removed/M64.trimmed_1.fastq	FASTQ	DNA	115648	26013968	2	224.9	225
../adapter-removed/M64.trimmed_2.fastq	FASTQ	DNA	115648	25894671	4	223.9	224
../adapter-removed/M65.trimmed_1.fastq	FASTQ	DNA	142025	31944847	2	224.9	225
../adapter-removed/M65.trimmed_2.fastq	FASTQ	DNA	142025	31781592	1	223.8	224
../adapter-removed/M66.trimmed_1.fastq	FASTQ	DNA	146459	32945111	2	224.9	225
../adapter-removed/M66.trimmed_2.fastq	FASTQ	DNA	146459	32792171	3	223.9	224
../adapter-removed/M67.trimmed_1.fastq	FASTQ	DNA	149628	33659128	2	225.0	225
../adapter-removed/M67.trimmed_2.fastq	FASTQ	DNA	149628	33508258	2	223.9	224
../adapter-removed/M68.trimmed_1.fastq	FASTQ	DNA	148003	33292945	1	224.9	225
../adapter-removed/M68.trimmed_2.fastq	FASTQ	DNA	148003	33137468	2	223.9	224
../adapter-removed/M69.trimmed_1.fastq	FASTQ	DNA	131703	29625124	2	224.9	225
../adapter-removed/M69.trimmed_2.fastq	FASTQ	DNA	131703	29490230	3	223.9	224
../adapter-removed/M7.trimmed_1.fastq	FASTQ	DNA	135452	30467834	6	224.9	225
../adapter-removed/M7.trimmed_2.fastq	FASTQ	DNA	135452	30338544	4	224.0	224
../adapter-removed/M70.trimmed_1.fastq	FASTQ	DNA	137295	30884555	4	225.0	225
../adapter-removed/M70.trimmed_2.fastq	FASTQ	DNA	137295	30747474	1	224.0	224
../adapter-removed/M71.trimmed_1.fastq	FASTQ	DNA	149122	33542258	2	224.9	225
../adapter-removed/M71.trimmed_2.fastq	FASTQ	DNA	149122	33394880	3	223.9	224
../adapter-removed/M72.trimmed_1.fastq	FASTQ	DNA	146040	32851304	2	224.9	225
../adapter-removed/M72.trimmed_2.fastq	FASTQ	DNA	146040	32706209	0	224.0	224
../adapter-removed/M73.trimmed_1.fastq	FASTQ	DNA	149446	33617839	1	224.9	225
../adapter-removed/M73.trimmed_2.fastq	FASTQ	DNA	149446	33438068	2	223.7	224
../adapter-removed/M74.trimmed_1.fastq	FASTQ	DNA	106385	23930176	1	224.9	225
../adapter-removed/M74.trimmed_2.fastq	FASTQ	DNA	106385	23823211	2	223.9	224
../adapter-removed/M75.trimmed_1.fastq	FASTQ	DNA	78449	17646337	4	224.9	225
../adapter-removed/M75.trimmed_2.fastq	FASTQ	DNA	78449	17565969	2	223.9	224
../adapter-removed/M76.trimmed_1.fastq	FASTQ	DNA	82102	18467888	2	224.9	225
../adapter-removed/M76.trimmed_2.fastq	FASTQ	DNA	82102	18382141	0	223.9	224
../adapter-removed/M77.trimmed_1.fastq	FASTQ	DNA	112881	25389104	1	224.9	225
../adapter-removed/M77.trimmed_2.fastq	FASTQ	DNA	112881	25251921	1	223.7	224
../adapter-removed/M78.trimmed_1.fastq	FASTQ	DNA	97819	22003513	2	224.9	225
../adapter-removed/M78.trimmed_2.fastq	FASTQ	DNA	97819	21901289	3	223.9	224
../adapter-removed/M79.trimmed_1.fastq	FASTQ	DNA	84245	18949628	2	224.9	225
../adapter-removed/M79.trimmed_2.fastq	FASTQ	DNA	84245	18866062	2	223.9	224
../adapter-removed/M8.trimmed_1.fastq	FASTQ	DNA	122048	27453110	3	224.9	225
../adapter-removed/M8.trimmed_2.fastq	FASTQ	DNA	122048	27333868	53	224.0	224
../adapter-removed/M80.trimmed_1.fastq	FASTQ	DNA	92519	20809717	4	224.9	225
../adapter-removed/M80.trimmed_2.fastq	FASTQ	DNA	92519	20712861	2	223.9	224
../adapter-removed/M81.trimmed_1.fastq	FASTQ	DNA	76806	17276656	2	224.9	225
